BoF
545,571,550,572,529,523,11111111,652,196,11111111,2
545,571,550,572,529,523,11111111,652,169,11111111,2
545,571,550,572,529,523,11111111,652,143,11111111,2
545,573,550,623,886,521,11111111,1023,126,11111111,2
545,573,550,618,940,520,11111111,1023,109,11111111,2
545,573,550,576,988,519,11111111,1023,101,11111111,2
545,566,550,461,990,519,11111111,1023,90,11111111,2
545,563,550,492,990,519,11111111,981,94,11111111,2
545,538,563,417,941,519,11111111,916,89,11111111,2
545,373,615,88,863,519,11111111,833,93,11111111,2
545,208,651,199,752,519,11111111,752,101,11111111,11
545,63,657,238,649,519,11111111,679,137,11111111,2
545,31,657,289,538,519,11111111,605,394,11111111,2
545,25,657,271,433,519,11111111,538,344,11111111,2
545,21,614,319,263,520,11111111,473,958,11111111,3
545,20,508,348,165,521,11111111,402,903,11111111,2
545,36,366,380,106,522,11111110,337,783,11111111,2
545,78,247,448,42,523,11111110,281,588,11111111,2
547,145,169,475,33,535,11111110,225,547,11111111,2
555,221,118,496,9,557,11111110,164,494,11111111,2
582,300,86,577,5,576,11111111,77,298,11111111,10
637,390,66,607,2,603,11111111,4,319,11111111,2
700,498,57,692,39,643,01111111,0,310,11111111,2
762,644,56,712,103,683,01111111,0,258,11111111,2
829,786,57,798,191,724,01111111,0,218,11111111,2
910,865,57,788,377,765,01111111,0,86,11111111,2
1004,891,64,777,445,820,11111111,0,188,11111111,2
1023,928,91,787,510,867,11111111,0,162,11111111,2
1023,996,155,792,586,919,11111110,0,108,11111111,2
1023,1023,249,774,672,952,11111110,18,144,11111111,2
1023,1023,397,820,738,970,01111111,69,280,11111111,10
1023,1023,543,818,799,969,01111111,157,351,11111111,2
1023,1023,694,797,858,965,01111111,232,317,11111111,2
1023,1023,797,765,898,954,01111111,293,258,11111111,2
1023,1017,869,744,937,928,01111111,371,0,11111111,2
971,960,939,698,961,832,11111111,442,0,11111111,2
909,911,978,639,989,779,11111110,502,41,11111111,2
838,845,1017,559,999,733,11111110,569,0,11111111,2
755,752,1023,498,999,676,11111110,636,213,11111111,2
673,608,1023,424,992,622,11111110,689,65,11111111,2
593,518,1023,415,953,562,11111110,759,127,11111111,10
512,358,1023,152,905,484,01111111,856,202,11111111,2
433,253,1023,88,832,403,01111111,940,218,11111111,2
353,166,983,337,744,319,01111111,997,166,11111111,2
271,89,903,283,642,238,01111111,1023,161,11111111,2
181,54,828,2,520,157,11111111,1023,139,11111111,3
90,37,758,2,398,76,11111110,1023,131,11111111,2
0,22,669,20,304,0,11111110,1023,238,11111111,2
0,7,546,336,207,0,11111110,981,268,11111111,2
0,25,433,360,142,0,11111110,930,127,11111111,2
0,54,312,397,93,0,11111111,842,305,11111111,11
0,110,220,369,46,0,01111111,749,534,11111111,2
0,171,159,479,29,0,01111111,668,431,11111111,2
49,262,113,503,0,67,01111111,603,393,11111111,2
172,348,82,618,0,156,01111111,544,273,11111111,2
285,430,68,654,0,240,11111111,492,212,11111111,2
375,531,63,704,83,347,11111110,442,222,11111111,2
459,626,62,784,147,451,11111110,393,198,11111111,2
549,713,62,787,215,528,11111110,342,141,11111111,2
633,806,62,764,379,630,01111111,285,433,11111111,2
750,892,75,773,465,749,01111111,224,0,11111111,10
866,963,124,771,706,810,01111111,161,332,11111111,2
931,1023,216,818,787,862,01111111,99,309,11111111,2
985,1023,324,799,829,922,01111111,46,303,11111111,2
1023,1023,429,774,890,1003,01111111,5,303,11111111,2
1023,1023,532,752,936,1023,11111110,0,369,11111111,2
1023,1023,631,697,960,1023,11111110,0,296,11111111,2
1023,1023,711,681,986,1023,11111110,0,253,11111111,2
1023,1023,805,572,996,1023,11111110,0,490,11111111,2
1023,1020,882,540,997,1023,11111110,0,841,11111111,2
1023,973,936,501,997,1023,01111111,11,779,11111111,10
1009,938,970,286,979,1012,01111111,72,793,11111111,2
956,886,996,416,940,964,11111111,162,646,11111111,2
871,820,1023,280,874,905,11111111,251,540,11111111,2
772,726,1023,325,752,844,11111110,338,447,11111111,2
678,591,1023,30,626,778,11111110,487,0,11111111,2
581,480,1023,2,484,716,11111110,570,332,11111111,3
418,350,1023,2,359,590,11111110,653,273,11111111,2
336,266,1023,20,287,528,11111111,734,43,11111111,2
215,190,1018,336,229,454,01111111,805,232,11111111,2
136,137,967,77,178,384,01111111,876,0,11111111,2
33,85,906,353,148,310,01111111,955,280,11111111,2
0,66,862,174,102,245,01111111,1023,381,11111111,2
0,45,794,422,66,179,01111111,1023,319,11111111,2
0,28,703,455,41,110,11111110,1023,0,11111111,2
0,20,620,506,14,32,11111110,1023,60,11111111,2
0,19,516,552,0,0,11111110,1023,619,11111111,2
0,40,387,620,0,0,11111110,1023,535,11111111,2
0,80,267,717,43,0,11111111,963,414,11111111,2
0,148,189,694,107,0,01111111,882,368,11111111,2
0,232,133,770,186,0,01111111,777,307,11111111,2
12,321,93,820,277,56,01111111,681,148,11111111,10
74,400,76,781,342,121,01111111,599,936,11111111,2
160,453,67,769,473,195,11111111,490,944,11111111,2
255,508,63,820,604,274,11111110,410,885,11111111,2
341,561,62,950,697,343,11111110,338,719,11111111,2
396,629,62,829,761,424,11111110,269,607,11111111,2
450,730,62,799,818,502,1111110,199,411,11111111,2
509,826,62,896,861,555,01111111,142,455,11111111,2
558,907,100,764,896,602,01111111,81,353,11111111,2
603,991,207,715,931,674,11111111,4,328,11111111,2
650,1023,334,712,953,734,11111111,0,366,11111111,10
690,1023,519,573,995,781,11111111,0,363,11111111,2
736,1023,645,492,995,844,11111111,0,291,11111111,2
800,1023,744,500,995,912,11111111,0,258,11111111,2
863,1023,829,434,965,979,11110111,0,217,11111111,2
911,996,889,426,929,1023,11110111,0,180,11111111,2
961,955,951,358,879,1023,11110111,0,156,11111111,3
1022,853,1017,79,816,1023,11110111,0,134,11111111,2
1023,761,1023,340,737,1023,11110111,38,115,11111111,2
1023,581,1023,9,635,1023,11110111,92,101,11111111,2
1023,392,1023,2,518,1023,11101111,175,96,11111111,10
1023,283,1023,2,383,1023,11101111,257,95,11111111,2
1012,236,1023,322,252,993,11111111,332,117,11111111,2
964,171,1021,358,142,946,11111111,410,102,11111111,2
891,133,973,392,95,883,11110111,493,91,11111111,2
809,100,931,281,51,813,11110111,571,91,11111111,2
710,66,860,475,31,743,11110111,637,119,11111111,2
617,49,801,559,0,671,11110111,723,110,11111111,2
539,34,727,608,0,601,11101111,803,96,11111111,2
371,24,623,674,0,447,11101111,862,95,11111111,2
291,21,523,706,72,371,11101111,938,90,11111111,11
215,35,424,691,142,286,11101111,1016,93,11111111,2
144,74,283,774,216,213,11101111,1023,91,11111111,2
78,131,204,811,298,155,11111111,1023,79,11111111,2
14,181,156,770,365,99,11110111,1023,71,11111111,2
0,266,114,771,458,40,11110111,1023,80,11111111,2
0,354,83,774,581,0,11110111,1017,79,11111111,2
0,435,68,819,708,0,11110111,952,91,11111111,2
0,517,63,965,782,0,11101111,878,81,11111111,2
0,597,62,802,830,0,11101111,796,80,11111111,2
0,676,62,719,921,0,11101111,724,72,11111111,10
0,746,62,830,949,0,11101111,649,127,11111111,2
26,820,62,688,966,4,11101111,571,495,11111111,2
85,875,80,634,991,38,11110111,506,956,11111111,2
174,965,169,558,995,89,11110111,436,832,11111111,2
269,1023,364,538,995,146,11110111,361,698,11111111,2
357,1023,531,503,995,205,11110111,289,582,11111111,2
429,1023,627,284,976,278,11111111,210,308,11111111,3
507,1023,760,414,942,360,11101111,142,964,11111111,2
593,1011,861,151,900,445,11101111,88,334,11111111,2
676,971,922,94,856,532,11101111,32,808,11111111,10
749,921,972,332,796,617,11101111,0,928,11111111,2
835,847,1019,35,711,697,11101111,0,620,11111111,2
936,724,1023,0,406,769,11111111,0,677,11111111,2
1023,579,1023,313,272,849,11110111,0,562,11111111,2
1023,482,1023,362,139,902,11110111,0,468,11111111,2
1023,349,1023,402,89,940,11110111,0,474,11111111,2
1023,265,1023,433,65,976,11110111,0,363,11111111,2
1023,215,1023,460,40,1021,11101111,0,215,11111111,2
1023,162,987,513,13,1023,11101111,37,274,11111111,2
1023,121,950,547,0,1023,11101111,271,232,11111111,10
1023,84,905,609,0,1023,11101111,378,3,11111111,2
975,53,823,674,4,984,11111111,480,142,11111111,2
918,33,715,714,82,937,11110111,559,669,11111111,2
837,21,616,694,132,879,11110111,626,6,11111111,2
668,21,511,770,198,740,11110111,714,512,11111111,2
595,35,400,827,291,668,11111111,783,439,11111111,2
530,67,288,788,398,599,11101111,826,338,11111111,2
468,120,213,786,529,536,11101111,870,291,11111111,2
401,188,153,789,695,469,11101111,945,259,11111111,2
335,278,106,809,796,398,11101111,995,216,11111111,11
274,355,82,782,872,330,11101111,1023,419,11111111,2
213,439,67,723,909,269,11110111,1023,0,11111111,2
154,528,63,717,951,209,11110111,1023,385,11111111,2
85,603,62,654,980,155,11110111,1023,354,11111111,2
19,635,62,605,993,109,11111111,1023,239,11111111,2
0,678,62,502,996,67,11101111,1023,228,11111111,2
0,728,62,502,995,24,11101111,1023,218,11111111,2
0,774,62,435,971,0,11101111,965,354,11111111,3
0,845,63,168,915,0,11101111,886,297,11111111,2
0,935,124,88,829,0,11111111,796,785,11111111,2
0,1023,242,305,728,0,11110111,713,1007,11111111,2
0,1023,483,18,526,0,11110111,620,950,11111111,2
44,1023,607,1,435,26,11110111,505,814,11111111,2
139,1023,665,283,320,95,11110111,424,683,11111111,2
224,1023,771,189,199,161,11111111,343,568,11111111,2
319,1022,862,358,125,254,11101111,272,479,11111111,2
392,993,899,411,81,362,11101111,201,714,11111111,2
